Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C7","100n","C_0805_2012Metric",58.842500,-44.475000,90.000000,top
"C8","100n","C_0805_2012Metric",71.035000,-21.670000,0.000000,top
"C9","10u","C_0805_2012Metric",70.960000,-38.340000,0.000000,top
"C10","100n","C_0805_2012Metric",70.960000,-36.380000,0.000000,top
"C11","100n","C_0402_1005Metric",72.660000,-41.865000,0.000000,top
"C12","22u","C_0805_2012Metric",58.880000,-40.520000,-90.000000,top
"C13","10u","C_0805_2012Metric",71.010000,-30.945000,0.000000,top
"C14","100n","C_0805_2012Metric",71.010000,-28.970000,0.000000,top
"C15","100n","C_0402_1005Metric",72.730000,-34.525000,0.000000,top
"C16","22u","C_0805_2012Metric",58.910000,-33.170000,-90.000000,top
"C17","100n","C_0805_2012Metric",58.910000,-29.770000,90.000000,top
"C18","100n","C_0805_2012Metric",58.880000,-37.120000,90.000000,top
"C19","100n","C_0805_2012Metric",58.960000,-22.420000,90.000000,top
"C22","100n","C_0402_1005Metric",58.885000,-16.995000,0.000000,top
"C23","56n","C_0402_1005Metric",58.885000,-17.920000,180.000000,top
"C87","100n","C_0402_1005Metric",34.660000,-52.790000,-90.000000,top
"C88","10n","C_0402_1005Metric",21.735000,-40.740000,-90.000000,top
"C89","470n","C_0402_1005Metric",17.735000,-48.220000,90.000000,top
"C91","100n","C_0402_1005Metric",47.985000,-17.723333,-90.000000,top
"C93","100n","C_0402_1005Metric",66.710000,-19.725000,-90.000000,top
"C97","470n","C_0402_1005Metric",37.460000,-17.716667,90.000000,top
"C99","470n","C_0402_1005Metric",37.460000,-15.581667,-90.000000,top
"C100","470n","C_0402_1005Metric",37.460000,-13.450000,90.000000,top
"C109","470n","C_0402_1005Metric",15.135000,-38.890000,-90.000000,top
"C110","470n","C_0402_1005Metric",20.985000,-28.065000,90.000000,top
"C116","470n","C_0402_1005Metric",12.715000,-35.570000,180.000000,top
"C117","470n","C_0402_1005Metric",12.705000,-30.620000,180.000000,top
"C118","470n","C_0402_1005Metric",18.610000,-38.925000,-90.000000,top
"C121","1u","C_0402_1005Metric",26.410000,-35.365400,0.000000,top
"C124","10u","C_0603_1608Metric",14.560000,-27.145000,180.000000,top
"C125","4.7u","C_0603_1608Metric",26.460000,-13.670000,-90.000000,top
"C127","4.7u","C_0603_1608Metric",23.385000,-27.145000,0.000000,top
"C138","1u","C_0402_1005Metric",26.410000,-34.451000,180.000000,top
"C139","470n","C_0402_1005Metric",37.460000,-19.875000,-90.000000,top
"C140","470n","C_0402_1005Metric",47.985000,-13.440000,-90.000000,top
"C141","470n","C_0402_1005Metric",47.985000,-15.581667,-90.000000,top
"C146","4.7u","C_0603_1608Metric",30.065000,-22.120000,0.000000,top
"C147","4.7u","C_0603_1608Metric",34.565000,-22.095000,180.000000,top
"C148","4.7u","C_0603_1608Metric",40.365000,-22.145000,0.000000,top
"C149","4.7u","C_0603_1608Metric",44.865000,-22.145000,180.000000,top
"C151","100n","C_0402_1005Metric",66.710000,-17.895000,90.000000,top
"C153","100n","C_0402_1005Metric",65.160000,-28.545000,0.000000,top
"C154","100n","C_0402_1005Metric",65.130000,-35.895000,0.000000,top
"C155","100n","C_0402_1005Metric",65.210000,-21.220000,0.000000,top
"C156","100n","C_0402_1005Metric",65.085000,-43.220000,0.000000,top
"D1","Green","LED_0603_1608Metric",9.627500,-19.054400,180.000000,top
"D2","Red","LED_0603_1608Metric",9.655000,-20.980000,180.000000,top
"D3","Green","LED_0603_1608Metric",9.652500,-22.840000,180.000000,top
"D4","Green","LED_0603_1608Metric",9.652500,-24.690000,180.000000,top
"D5","Green","LED_0603_1608Metric",9.655000,-26.560000,0.000000,top
"J13","DDR4_SODIMM_Board","DDR4_SODIMM_Board",8.425000,-57.075000,0.000000,top
"KiKit_FID_T_1","Fiducial","Fiducial",5.000000,-3.850000,0.000000,top
"KiKit_FID_T_2","Fiducial","Fiducial",78.600000,-3.850000,0.000000,top
"KiKit_FID_T_3","Fiducial","Fiducial",5.000000,-66.150000,0.000000,top
"KiKit_TO_1","NPTH","NPTH",2.500000,-2.500000,0.000000,top
"KiKit_TO_2","NPTH","NPTH",81.100000,-2.500000,0.000000,top
"KiKit_TO_3","NPTH","NPTH",2.500000,-67.500000,0.000000,top
"L1","1u","Coilcraft_XAL4020",66.805000,-46.150000,180.000000,top
"L2","2.2u","Coilcraft_XAL4020",66.910000,-24.095000,180.000000,top
"L3","3.3u","Coilcraft_XAL4030",66.850000,-38.815000,180.000000,top
"L4","3.3u","Coilcraft_XAL4030",66.885000,-31.445000,180.000000,top
"R1","10k","R_0402_1005Metric",26.385000,-23.520000,180.000000,top
"R2","10k","R_0402_1005Metric",26.400000,-24.470000,180.000000,top
"R3","10k","R_0402_1005Metric",26.405000,-25.420000,180.000000,top
"R4","10k","R_0402_1005Metric",26.390000,-21.620000,180.000000,top
"R5","8.25k 1%","R_0402_1005Metric",72.650000,-48.350000,180.000000,top
"R6","12.4k 1%","R_0402_1005Metric",72.780000,-26.220000,180.000000,top
"R7","10k 1%","R_0402_1005Metric",72.650000,-47.350000,0.000000,top
"R8","10k 1%","R_0402_1005Metric",72.780000,-25.270000,0.000000,top
"R9","100k","R_0402_1005Metric",65.185000,-17.520000,180.000000,top
"R10","100k","R_0402_1005Metric",65.185000,-18.470000,180.000000,top
"R11","100k","R_0402_1005Metric",65.185000,-19.410000,180.000000,top
"R12","4.7k","R_0402_1005Metric",30.885000,-52.795000,90.000000,top
"R13","4.7k","R_0402_1005Metric",32.785000,-52.795000,90.000000,top
"R14","4.7k","R_0402_1005Metric",31.835000,-52.795000,90.000000,top
"R15","10k","R_0402_1005Metric",11.955000,-19.120000,90.000000,top
"R16","10k","R_0402_1005Metric",11.955000,-20.980000,90.000000,top
"R17","10k","R_0402_1005Metric",26.410000,-44.420000,0.000000,top
"R18","10k","R_0402_1005Metric",26.410000,-48.225000,0.000000,top
"R19","10k","R_0402_1005Metric",26.410000,-47.275000,0.000000,top
"R20","10k","R_0402_1005Metric",26.410000,-46.320000,0.000000,top
"R21","10k","R_0402_1005Metric",26.410000,-49.175000,0.000000,top
"R22","1k","R_0402_1005Metric",26.410000,-45.370000,0.000000,top
"R23","1k 1%","R_0402_1005Metric",26.410000,-37.245000,180.000000,top
"R24","1k 1%","R_0402_1005Metric",26.410000,-36.305200,0.000000,top
"R25","39m","R_1206_3216Metric",62.185000,-32.345000,180.000000,top
"R27","2k","R_0402_1005Metric",11.955000,-22.840000,90.000000,top
"R28","2k","R_0402_1005Metric",11.955000,-24.700000,90.000000,top
"R29","2k","R_0402_1005Metric",11.960000,-26.560000,90.000000,top
"R30","21k 1%","R_0402_1005Metric",72.675000,-40.940000,180.000000,top
"R31","10k 1%","R_0402_1005Metric",72.675000,-39.990000,0.000000,top
"R32","4.7k","R_0402_1005Metric",29.935000,-52.795000,-90.000000,top
"R33","30.9k 1%","R_0402_1005Metric",72.730000,-33.600000,180.000000,top
"R34","10k 1%","R_0402_1005Metric",72.730000,-32.650000,0.000000,top
"R35","10k","R_0402_1005Metric",26.390000,-22.570000,180.000000,top
"R36","10k","R_0402_1005Metric",26.385000,-20.670000,180.000000,top
"R37","10k","R_0402_1005Metric",26.385000,-19.720000,180.000000,top
"R38","10k","R_0402_1005Metric",26.410000,-26.370000,180.000000,top
"R39","10k","R_0402_1005Metric",26.385000,-16.870000,180.000000,top
"R40","10k","R_0402_1005Metric",26.385000,-17.820000,180.000000,top
"R41","39m","R_1206_3216Metric",62.155000,-39.695000,180.000000,top
"R42","10k","R_0402_1005Metric",26.385000,-18.770000,0.000000,top
"R43","22m","R_1206_3216Metric",62.235000,-25.020000,180.000000,top
"R44","2m","R_1206_3216Metric",62.117500,-47.025000,180.000000,top
"R45","3.3k","R_0402_1005Metric",58.885000,-19.790000,0.000000,top
"R46","3.3k","R_0402_1005Metric",58.885000,-18.850000,0.000000,top
"R47","1k","R_0402_1005Metric",33.735000,-52.805000,90.000000,top
"U1","TPS565242DRLR","TI_DRL0006A",70.470000,-47.835000,0.000000,top
"U2","TPS562202DRLR","TI_DRL0006A",70.570000,-25.770000,0.000000,top
"U3","TPS562202DRLR","TI_DRL0006A",70.495000,-40.465000,0.000000,top
"U4","TPS562202DRLR","TI_DRL0006A",70.545000,-33.120000,0.000000,top
"U5","LM3880MF*-1AA","LM3880",62.010000,-18.470000,0.000000,top
"U6","LFE5U-85F-*BG756*","LFE5U-85F-_BG756C",41.835000,-37.371800,0.000000,top
"U7","XLH335040.000000I","XLH335040.000000I",24.830000,-39.965000,0.000000,top
"U8","W25Q128JVPIQ","W25Q128JVP",21.760000,-46.810000,180.000000,top
"U9","IS61WV25616BLL-*BLI","IS61WV25616BLL-_BLI",52.360000,-16.684300,0.000000,top
"U10","IS42S16160J-*BL","IS42S16160J-_BL",32.315000,-16.645000,-90.000000,top
"U11","IS43DR86400E","IS43DR86400E",19.385000,-33.471800,90.000000,top
"U12","ASFC4G31M-51*","ASFC4G31M-51BIN",18.935000,-19.170000,180.000000,top
"U13","IS42S16160J-*BL","IS42S16160J-_BL",42.615000,-16.645000,-90.000000,top
"U14","INA219xxDCN","SOT-23-8",62.185000,-29.520000,180.000000,top
"U15","TLV760","TLV760",69.360000,-18.670000,0.000000,top
"U16","INA219xxDCN","SOT-23-8",62.155000,-36.870000,180.000000,top
"U17","INA219xxDCN","SOT-23-8",62.235000,-22.195000,180.000000,top
"U18","INA219xxDCN","SOT-23-8",62.117500,-44.200000,180.000000,top
